ok,organization,id,title,url,groups,groups_extra,vocabulary,vocabulary_extra,tags,original_tags,,
1,gva,192544868671-gva-bienes-de-interes-cultural-de-la-comunitat-valenciana,GVA: Bienes de Interés Cultural de la Comunitat Valenciana,https://dadesobertes.gva.es/dataset/bienes-de-interes-cultural-de-la-comunitat-valenciana,recursos,,bic,,bic,"BIC, Bienes, Comunitat Valenciana, Cultura, España, IDEV",,
1,valencia,112538790064-valencia-entorn-entorno-bic,Valencia: Entorno (BIC),https://valencia.opendatasoft.com/explore/dataset/entorn-entorno-bic,recursos,,bic,,bic,Urbanismo e Infraestructuras,,
1,torrent,196781394419-torrent-estacions-torrent-bici,Torrent: Estaciones Torrent Bici 2016,http://datosabiertos.torrent.es/dataset/estacions-torrent-bici,transporte,,Bici,,"bici,ciclismo","deporte, sociedad-bienestar, turismo",,
1,torrent,208529578257-torrent-evolucio-usuari-servici-torrentbici,"Torrent: Evolución del servicio TorrentBICI, por meses",http://datosabiertos.torrent.es/dataset/evolucio-usuari-servici-torrentbici,transporte,,Bici,,"bici,ciclismo","transporte, turismo",,
1,torrent,221727457805-torrent-usos-de-torrentbici-per-estacio-d-origen-2020-usos-de-torrentbici-por-estacion-,Torrent: Usos de TorrentBici por estación de origen 2020,http://datosabiertos.torrent.es/dataset/usos-de-torrentbici-per-estacio-d-origen-2020-usos-de-torrentbici-por-estacion-de-origen-2020,transporte,,Bici,,"bici,ciclismo","transporte, turismo",,
1,torrent,246689436163-torrent-usos-de-torrentbici-per-estacio-d-origen-2021-usos-de-torrentbici-por-estacion-,Torrent: Usos de TorrentBici por estación de origen 2021,http://datosabiertos.torrent.es/dataset/usos-de-torrentbici-per-estacio-d-origen-2021-usos-de-torrentbici-por-estacion-de-origen-2021,transporte,,Bici,,"bici,ciclismo","transporte, turismo",,
1,torrent,267040535368-torrent-usos-de-torrentbici-per-estacio-d-origen-2022-usos-de-torrentbici-por-estacion-,Torrent: Usos de TorrentBici por estación de origen 2022,http://datosabiertos.torrent.es/dataset/usos-de-torrentbici-per-estacio-d-origen-2022-usos-de-torrentbici-por-estacion-de-origen-2022,transporte,,Bici,,"bici,ciclismo","transporte, turismo",,
1,valencia,306867889485-valencia-intensitat-dels-punts-de-mesura-de-transit-espires-electromagnetiques,Valencia: Intensitat dels Punts de Mesura de Trànsit (Espires electromagnètiques),https://valencia.opendatasoft.com/explore/dataset/intensitat-dels-punts-de-mesura-de-transit-espires-electromagnetiques,transporte,,bicis,,bicis,Transporte,,
1,valencia,640286955637-valencia-itinerarios-ciclistas-itineraris-ciclistes,Valencia: Itineraris Ciclistes,https://valencia.opendatasoft.com/explore/dataset/itinerarios-ciclistas-itineraris-ciclistes,transporte,,bicis,,bicis,,,
1,gva,320212461941-gva-centros-de-buceo-de-la-comunitat-valenciana,GVA: Centros de buceo de la Comunitat Valenciana,https://dadesobertes.gva.es/dataset/centros-de-buceo-de-la-comunitat-valenciana,empresas,,empresas,,buceo,"Anexo I, Anexo III, Comunitat Valenciana, Puertos, Regiones marinas, Unidades administrativas, puerto",,
