CODIGO_MUNIINE,MUNICIPIO,RED DTI ,PORTAL DE OPEN DATA ,CATEGORIA DE TURISMO ,TECNOLOGIA,PROCESABLE,URL  DIPUTACIÓN DE ALICANTE,CATEGORIA DE TURISMO DPA,TECNOLOGIA,PROCESABLE,EPADATA ,CATEGORIA DE TURISMO ,TECNOLOGIA,PROCESABLE,AlLICANTEENCIFRAS CAMARA DE COMERCIO URL ,CATEGORIA DE TURISMO ,TECNOLOGIA,PROCESABLE,INE DATOS TURISTICOS ,CATEGORIA DE TURISMO ,TECNOLOGIA,PROCESABLE
3021,BANYERES DE MARIOLA,,,,,,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03021,,,,https://www.epdata.es/datos/ocupacion-hotelera-hoteles-datos-graficos-municipios/143/banyeres-mariola/1282,,,,,,,,https://www.ine.es/jaxiT3/Tabla.htm?t=53001&L=0,"Número de turistas mensuales por CCAA y provincia de origen desagregados por municipio de destino
- (turistas, municipio, periodo)",,
3022,BENASAU,,,,,,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03022,,,,https://www.epdata.es/datos/ocupacion-hotelera-hoteles-datos-graficos-municipios/143/benasau/1475,,,,,,,,https://www.ine.es/jaxiT3/Tabla.htm?t=53001&L=0,"Número de turistas mensuales por CCAA y provincia de origen desagregados por municipio de destino
- (turistas, municipio, periodo)",,
3023,"BENEIXAMA ",,,,,,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03023,,,,https://www.epdata.es/datos/ocupacion-hotelera-hoteles-datos-graficos-municipios/143/beneixama/1484,,,,,,,,,,,
3024,BENEJUZAR,,,,,,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03024,,,,https://www.epdata.es/datos/ocupacion-hotelera-hoteles-datos-graficos-municipios/143/benejuzar/1486,,,,,,,,,,,
3025,BENFERRI,,,,,,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03025,,,,https://www.epdata.es/datos/ocupacion-hotelera-hoteles-datos-graficos-municipios/143/benferri/1488,,,,,,,,https://www.ine.es/jaxiT3/Tabla.htm?t=53001&L=0,"Número de turistas mensuales por CCAA y provincia de origen desagregados por municipio de destino
- (turistas, municipio, periodo)",,
3026,BENIARBEIG,,,,,,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03026,,,,https://www.epdata.es/datos/ocupacion-hotelera-hoteles-datos-graficos-municipios/143/beniarbeig/1489,,,,,,,,https://www.ine.es/jaxiT3/Tabla.htm?t=53001&L=0,"Número de turistas mensuales por CCAA y provincia de origen desagregados por municipio de destino
- (turistas, municipio, periodo)",,
3027,BENIARDA ,,,,,,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03027,,,,https://www.epdata.es/datos/ocupacion-hotelera-hoteles-datos-graficos-municipios/143/beniarda/1490,,,,,,,,https://www.ine.es/jaxiT3/Tabla.htm?t=53001&L=0,"Número de turistas mensuales por CCAA y provincia de origen desagregados por municipio de destino
- (turistas, municipio, periodo)",,
3028,BENIARRES,,,,,,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03028,,,,https://www.epdata.es/datos/ocupacion-hotelera-hoteles-datos-graficos-municipios/143/beniarres/1492,,,,,,,,https://www.ine.es/jaxiT3/Tabla.htm?t=53001&L=0,"Número de turistas mensuales por CCAA y provincia de origen desagregados por municipio de destino
- (turistas, municipio, periodo)",,
3029,"BENICHEMBLA ",,,,,,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03029,,,,,,,,,,,,,,,
3030,BENIDOLEIG,,,,,,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03030,,,,https://www.epdata.es/datos/ocupacion-hotelera-hoteles-datos-graficos-municipios/143/benidoleig/1498,,,,,,,,https://www.ine.es/jaxiT3/Tabla.htm?t=53001&L=0,"Número de turistas mensuales por CCAA y provincia de origen desagregados por municipio de destino
- (turistas, municipio, periodo)",,
