name,title,image,description,location
test,Test Organization,test_org.png,"This is an organization for testing purposes", Perillo
ajuntament-alcoi,Alcoy Open Data,logo_alcoy.png,"Datos abiertos del ayuntamiento de Alcoy", Alcoy
ine,Instituto Nacional de Estadística,ine_logo.png,"Datos abiertos del gobierno de España", Spain
